id,event_id,game_id,season_id,player_id,goalie_id,team_id,opponent_team_id,home,shot_order,goal,winning_goal,seconds
65_shootout_131,131,65,1,58,6,5,1,0,4,0,0,6
65_shootout_132,132,65,1,16,59,1,5,1,4,0,0,7
65_shootout_133,133,65,1,142,6,5,1,0,5,0,0,8
69_shootout_143,143,69,1,88,6,5,1,1,1,1,0,0
69_shootout_148,148,69,1,1,59,1,5,0,1,1,0,1
69_shootout_144,144,69,1,60,6,5,1,1,2,0,0,2
69_shootout_149,149,69,1,1,59,1,5,0,2,0,0,3
69_shootout_145,145,69,1,63,6,5,1,1,3,0,0,4
69_shootout_150,150,69,1,13,59,1,5,0,3,0,0,5
69_shootout_146,146,69,1,58,6,5,1,1,4,0,0,6
69_shootout_151,151,69,1,16,59,1,5,0,4,0,0,7
69_shootout_147,147,69,1,88,6,5,1,1,5,1,1,8
69_shootout_152,152,69,1,13,59,1,5,0,5,0,0,9
75_shootout_16,16,75,2,53,122,5,2,0,1,0,0,0
75_shootout_11,11,75,2,21,48,2,5,1,1,0,0,1
75_shootout_17,17,75,2,61,122,5,2,0,2,0,0,2
75_shootout_12,12,75,2,78,48,2,5,1,2,0,0,3
75_shootout_18,18,75,2,138,122,5,2,0,3,0,0,4
75_shootout_13,13,75,2,25,48,2,5,1,3,1,0,5
75_shootout_19,19,75,2,63,122,5,2,0,4,0,0,6
75_shootout_14,14,75,2,23,48,2,5,1,4,1,0,7
75_shootout_20,20,75,2,58,122,5,2,0,5,0,0,8
75_shootout_15,15,75,2,79,48,2,5,1,5,0,0,9
76_shootout_21,21,76,2,37,85,4,3,1,1,1,0,0
76_shootout_26,26,76,2,161,41,3,4,0,1,1,0,1
76_shootout_22,22,76,2,34,85,4,3,1,2,1,0,2
76_shootout_27,27,76,2,31,41,3,4,0,2,1,0,3
76_shootout_23,23,76,2,86,85,4,3,1,3,0,0,4
76_shootout_28,28,76,2,98,41,3,4,0,3,0,0,5
76_shootout_24,24,76,2,42,85,4,3,1,4,0,0,6
76_shootout_29,29,76,2,32,41,3,4,0,4,1,0,7
76_shootout_25,25,76,2,35,85,4,3,1,5,0,0,8
76_shootout_30,30,76,2,158,41,3,4,0,5,0,0,9
79_shootout_51,51,79,2,88,155,5,4,1,1,0,0,0
79_shootout_56,56,79,2,37,59,4,5,0,1,1,0,1
79_shootout_52,52,79,2,58,155,5,4,1,2,0,0,2
79_shootout_57,57,79,2,39,59,4,5,0,2,0,0,3
79_shootout_53,53,79,2,141,155,5,4,1,3,0,0,4
79_shootout_58,58,79,2,42,59,4,5,0,3,0,0,5
79_shootout_54,54,79,2,57,155,5,4,1,4,1,0,6
79_shootout_59,59,79,2,34,59,4,5,0,4,0,0,7
79_shootout_55,55,79,2,63,155,5,4,1,5,0,0,8
79_shootout_60,60,79,2,33,59,4,5,0,5,1,1,9
106_shootout_153,153,106,5,31,59,3,5,1,1,0,0,0
106_shootout_154,154,106,5,61,28,5,3,0,1,0,0,1
106_shootout_155,155,106,5,138,59,3,5,1,2,0,0,2
106_shootout_156,156,106,5,88,28,5,3,0,2,0,0,3
106_shootout_157,157,106,5,32,59,3,5,1,3,0,0,4
106_shootout_158,158,106,5,224,28,5,3,0,3,0,0,5
106_shootout_159,159,106,5,83,59,3,5,1,4,0,0,6
106_shootout_160,160,106,5,161,28,5,3,0,4,0,0,7
106_shootout_161,161,106,5,31,59,3,5,1,5,1,1,8
106_shootout_162,162,106,5,88,28,5,3,0,5,0,0,9
117_shootout_163,163,117,5,231,22,4,2,1,1,1,0,0
117_shootout_168,168,117,5,104,228,2,4,0,1,1,0,1
117_shootout_164,164,117,5,205,22,4,2,1,2,0,0,2
117_shootout_169,169,117,5,25,228,2,4,0,2,1,0,3
117_shootout_165,165,117,5,34,22,4,2,1,3,1,0,4
117_shootout_170,170,117,5,115,228,2,4,0,3,0,0,5
117_shootout_166,166,117,5,37,22,4,2,1,4,0,0,6
117_shootout_171,171,117,5,21,228,2,4,0,4,1,1,7
117_shootout_167,167,117,5,42,22,4,2,1,5,0,0,8
130_shootout_187,187,130,5,189,155,2,4,0,1,1,0,0
130_shootout_180,180,130,5,231,123,4,2,1,1,0,0,1
130_shootout_188,188,130,5,169,155,2,4,0,2,0,0,2
130_shootout_181,181,130,5,34,123,4,2,1,2,1,0,3
130_shootout_189,189,130,5,21,155,2,4,0,3,0,0,4
130_shootout_182,182,130,5,205,123,4,2,1,3,0,0,5
130_shootout_190,190,130,5,11,155,2,4,0,4,0,0,6
130_shootout_183,183,130,5,36,123,4,2,1,4,1,0,7
